,Date,GameID,Outcome,TeamPoints,PlayerID,MaxSpeedInGame,MaxAccelImpulseInGame
0,2017-11-30,1,W,19,2,7.284728049999999,4.423614649999999
992,2017-11-30,1,W,19,3,6.8524360374999995,4.8888928
2036,2017-11-30,1,W,19,4,7.267783592000001,5.694449
2897,2017-11-30,1,W,19,6,6.33889396,4.7777816
3607,2017-11-30,1,W,19,7,7.06528343,4.091273114285714
4674,2017-11-30,1,W,19,8,7.469053594285714,4.972226200000001
5368,2017-11-30,1,W,19,9,6.600560836,4.3194479
6257,2017-11-30,1,W,19,10,8.593062429999998,4.0555588
7311,2017-11-30,1,W,19,11,7.235561344,3.940479342857143
8375,2017-11-30,1,W,19,12,5.593985956666667,4.4722258
9402,2017-11-30,1,W,19,13,7.220144665,4.6388926
9830,2017-11-30,1,W,19,17,5.346300573333333,5.5833378
9968,2017-11-30,2,W,31,2,6.81111656,5.2222264
11083,2017-11-30,2,W,31,3,7.406950370000001,3.65972515
12073,2017-11-30,2,W,31,4,6.8895888450000005,4.935189133333334
13161,2017-11-30,2,W,31,6,7.3412095766666665,4.7777816
14023,2017-11-30,2,W,31,7,6.965746313333334,4.5416703
15128,2017-11-30,2,W,31,8,7.56806161,5.416670999999999
16191,2017-11-30,2,W,31,9,7.37222812,4.327781240000001
17276,2017-11-30,2,W,31,10,6.660190513333333,4.1388922
17715,2017-11-30,2,W,31,11,6.53611634,3.9833365199999995
18783,2017-11-30,2,W,31,12,7.01667228,4.3888924000000005
19893,2017-11-30,2,W,31,13,7.312228072000001,5.8333379999999995
20698,2017-11-30,2,W,31,17,6.82917213,3.9537068666666664
21713,2017-11-30,3,W,31,2,6.900005519999999,4.782411233333334
22778,2017-11-30,3,W,31,3,7.582783844,4.0555588
23850,2017-11-30,3,W,31,4,6.323417757142857,4.0416699000000005
24913,2017-11-30,3,W,31,6,8.090747213333334,5.861115799999999
25228,2017-11-30,3,W,31,7,8.382414113333335,4.675929666666667
26217,2017-11-30,3,W,31,8,7.630164834285714,4.6111148
27241,2017-11-30,3,W,31,9,7.656256125,4.5555592
27847,2017-11-30,3,W,31,10,7.824388975555556,3.9833365200000004
28924,2017-11-30,3,W,31,11,6.650560876,4.4166702
29429,2017-11-30,3,W,31,12,6.562042286666667,4.232642275
30505,2017-11-30,3,W,31,13,6.581255265,5.4444488
31353,2017-11-30,3,W,31,17,6.39167178,4.944448400000001
31876,2017-12-01,4,W,24,2,6.986513525714286,5.972226999999999
32729,2017-12-01,4,W,24,3,7.42500594,4.1111144
33719,2017-12-01,4,W,24,4,4.49444804,4.972226200000001
33996,2017-12-01,4,W,24,6,5.127087435,5.1666707999999995
34199,2017-12-01,4,W,24,7,7.000005600000001,4.2916701
35188,2017-12-01,4,W,24,8,7.1493112750000005,5.3611154
36039,2017-12-01,4,W,24,9,6.356116195999999,4.342596066666666
36977,2017-12-01,4,W,24,10,8.75556256,5.5277822
37328,2017-12-01,4,W,24,11,6.657721375555555,4.4444479999999995
38314,2017-12-01,4,W,24,12,6.688894240000001,4.4722258
39305,2017-12-01,4,W,24,13,6.406486606666667,5.2222264
39923,2017-12-01,4,W,24,14,7.454450408,4.444448
40894,2017-12-01,4,W,24,15,4.250003400000001,5.6111156
41533,2017-12-01,4,W,24,16,7.331950310000001,4.9166706
