,Date,PlayerID,Training,SessionType,Duration,RPE,SessionLoad,DailyLoad,AcuteChronicRatio,ObjectiveRating,FocusRating,BestOutOfMyself,AcuteLoad,ChronicLoad
0,2017-08-01,15,1,Strength,60.0,4.0,240.0,300.0,4.3,6.0,7.0,3.0,42.9,10.0
1,2017-08-01,1,1,Speed,60.0,3.0,180.0,540.0,4.3,0.0,0.0,3.0,77.1,18.0
2,2017-08-01,1,1,Strength,90.0,4.0,360.0,540.0,4.3,0.0,0.0,3.0,77.1,18.0
3,2017-08-01,3,1,Speed,45.0,5.0,225.0,675.0,4.3,7.0,7.0,3.0,96.4,22.5
4,2017-08-01,3,1,Strength,90.0,5.0,450.0,675.0,4.3,7.0,7.0,3.0,96.4,22.5
5,2017-08-01,5,1,Speed,30.0,3.0,90.0,330.0,4.3,8.0,9.0,3.0,47.1,11.0
6,2017-08-01,5,1,Strength,60.0,4.0,240.0,330.0,4.3,9.0,10.0,3.0,47.1,11.0
7,2017-08-01,8,1,Speed,60.0,2.0,120.0,345.0,4.3,0.0,0.0,1.0,49.3,11.5
8,2017-08-01,8,1,Strength,75.0,3.0,225.0,345.0,4.3,0.0,0.0,1.0,49.3,11.5
9,2017-08-01,15,1,Speed,30.0,2.0,60.0,300.0,4.3,6.0,7.0,3.0,42.9,10.0
10,2017-08-01,10,1,Speed,60.0,4.0,240.0,640.0,4.3,0.0,8.0,3.0,91.4,21.3
11,2017-08-01,10,1,Strength,80.0,5.0,400.0,640.0,4.3,0.0,8.0,3.0,91.4,21.3
12,2017-08-01,11,1,Speed,50.0,4.0,200.0,500.0,4.3,8.0,7.0,0.0,71.4,16.7
13,2017-08-01,11,1,Strength,75.0,4.0,300.0,500.0,4.3,10.0,7.0,3.0,71.4,16.7
14,2017-08-01,12,1,Speed,50.0,2.0,100.0,280.0,4.3,6.0,8.0,3.0,40.0,9.3
15,2017-08-01,12,1,Strength,90.0,2.0,180.0,280.0,4.3,6.0,8.0,3.0,40.0,9.3
16,2017-08-01,13,1,Speed,60.0,5.0,300.0,840.0,4.3,8.0,7.0,3.0,120.0,28.0
17,2017-08-01,13,1,Strength,90.0,6.0,540.0,840.0,4.3,8.0,7.0,3.0,120.0,28.0
18,2017-08-01,9,1,Conditioning,45.0,9.0,405.0,405.0,4.3,0.0,0.0,3.0,57.9,13.5
19,2017-08-02,1,0,,,,,0.0,4.3,0.0,0.0,,77.1,18.0
20,2017-08-02,3,1,Skills,60.0,3.0,180.0,180.0,4.3,8.0,8.0,3.0,122.1,28.5
21,2017-08-02,4,1,Skills,60.0,3.0,180.0,180.0,4.3,6.0,7.0,0.0,25.7,6.0
22,2017-08-02,8,1,Skills,60.0,2.0,120.0,120.0,4.3,8.0,7.0,1.0,66.4,15.5
23,2017-08-02,9,0,,,,,0.0,4.3,,,,57.9,13.5
24,2017-08-02,5,0,,,,,0.0,4.3,,,,47.1,11.0
25,2017-08-02,11,1,Skills,30.0,2.0,60.0,60.0,4.3,8.0,10.0,3.0,80.0,18.7
26,2017-08-02,12,1,Skills,60.0,2.0,120.0,120.0,4.3,7.0,7.0,3.0,57.1,13.3
