,Date,PlayerID,Duration,RPE,SessionLoad,DailyLoad,AcuteChronicRatio,ObjectiveRating,FocusRating,BestOutOfMyself,AcuteLoad,ChronicLoad,SessionType_Combat,SessionType_Conditioning,SessionType_Game,SessionType_Mobility/Recovery,SessionType_Skills,SessionType_Speed,SessionType_Strength
0,2017-08-01,15,60.0,4.0,240.0,300.0,4.29,6.0,7.0,2.0,42.86,10.0,0,0,0,0,0,0,1
1,2017-08-01,1,60.0,3.0,180.0,540.0,4.29,0.0,0.0,2.0,77.14,18.0,0,0,0,0,0,1,0
2,2017-08-01,1,90.0,4.0,360.0,540.0,4.29,0.0,0.0,2.0,77.14,18.0,0,0,0,0,0,0,1
3,2017-08-01,3,45.0,5.0,225.0,675.0,4.29,7.0,7.0,2.0,96.43,22.5,0,0,0,0,0,1,0
4,2017-08-01,3,90.0,5.0,450.0,675.0,4.29,7.0,7.0,2.0,96.43,22.5,0,0,0,0,0,0,1
5,2017-08-01,5,30.0,3.0,90.0,330.0,4.29,8.0,9.0,2.0,47.14,11.0,0,0,0,0,0,1,0
6,2017-08-01,5,60.0,4.0,240.0,330.0,4.29,9.0,10.0,2.0,47.14,11.0,0,0,0,0,0,0,1
7,2017-08-01,8,60.0,2.0,120.0,345.0,4.29,0.0,0.0,1.0,49.29,11.5,0,0,0,0,0,1,0
8,2017-08-01,8,75.0,3.0,225.0,345.0,4.29,0.0,0.0,1.0,49.29,11.5,0,0,0,0,0,0,1
9,2017-08-01,15,30.0,2.0,60.0,300.0,4.29,6.0,7.0,2.0,42.86,10.0,0,0,0,0,0,1,0
10,2017-08-01,10,60.0,4.0,240.0,640.0,4.29,0.0,8.0,2.0,91.43,21.33,0,0,0,0,0,1,0
11,2017-08-01,10,80.0,5.0,400.0,640.0,4.29,0.0,8.0,2.0,91.43,21.33,0,0,0,0,0,0,1
12,2017-08-01,11,50.0,4.0,200.0,500.0,4.28,8.0,7.0,0.0,71.43,16.67,0,0,0,0,0,1,0
13,2017-08-01,11,75.0,4.0,300.0,500.0,4.28,10.0,7.0,2.0,71.43,16.67,0,0,0,0,0,0,1
14,2017-08-01,12,50.0,2.0,100.0,280.0,4.29,6.0,8.0,2.0,40.0,9.33,0,0,0,0,0,1,0
15,2017-08-01,12,90.0,2.0,180.0,280.0,4.29,6.0,8.0,2.0,40.0,9.33,0,0,0,0,0,0,1
16,2017-08-01,13,60.0,5.0,300.0,840.0,4.29,8.0,7.0,2.0,120.0,28.0,0,0,0,0,0,1,0
17,2017-08-01,13,90.0,6.0,540.0,840.0,4.29,8.0,7.0,2.0,120.0,28.0,0,0,0,0,0,0,1
18,2017-08-01,9,45.0,9.0,405.0,405.0,4.29,0.0,0.0,2.0,57.86,13.5,0,1,0,0,0,0,0
20,2017-08-02,3,60.0,3.0,180.0,180.0,4.29,8.0,8.0,2.0,122.14,28.5,0,0,0,0,1,0,0
21,2017-08-02,4,60.0,3.0,180.0,180.0,4.28,6.0,7.0,0.0,25.71,6.0,0,0,0,0,1,0,0
22,2017-08-02,8,60.0,2.0,120.0,120.0,4.29,8.0,7.0,1.0,66.43,15.5,0,0,0,0,1,0,0
25,2017-08-02,11,30.0,2.0,60.0,60.0,4.28,8.0,10.0,2.0,80.0,18.67,0,0,0,0,1,0,0
26,2017-08-02,12,60.0,2.0,120.0,120.0,4.29,7.0,7.0,2.0,57.14,13.33,0,0,0,0,1,0,0
27,2017-08-02,13,60.0,4.0,240.0,240.0,4.29,8.0,8.0,2.0,154.29,36.0,0,0,0,0,1,0,0
28,2017-08-02,13,15.0,0.0,0.0,240.0,4.29,8.0,8.0,2.0,154.29,36.0,0,0,0,1,0,0,0
29,2017-08-02,14,60.0,2.0,120.0,120.0,4.28,8.0,10.0,2.0,17.14,4.0,0,0,0,0,1,0,0
30,2017-08-02,15,60.0,3.0,180.0,180.0,4.29,7.0,8.0,2.0,68.57,16.0,0,0,0,0,1,0,0
31,2017-08-02,10,60.0,3.0,180.0,180.0,4.29,10.0,8.0,2.0,117.14,27.33,0,0,0,0,1,0,0
32,2017-08-03,9,75.0,6.0,450.0,600.0,4.29,10.0,10.0,2.0,143.57,33.5,0,0,0,0,0,0,1
33,2017-08-03,9,30.0,5.0,150.0,600.0,4.29,10.0,10.0,2.0,143.57,33.5,0,1,0,0,0,0,0
34,2017-08-03,8,60.0,2.0,120.0,480.0,4.29,7.0,8.0,2.0,135.0,31.5,0,0,0,0,0,0,1
35,2017-08-03,8,60.0,3.0,180.0,480.0,4.29,7.0,8.0,2.0,135.0,31.5,0,0,0,0,1,0,0
36,2017-08-03,8,60.0,3.0,180.0,480.0,4.29,7.0,8.0,2.0,135.0,31.5,0,0,0,0,0,1,0
37,2017-08-03,3,45.0,4.0,180.0,780.0,4.29,8.0,8.0,0.0,233.57,54.5,0,0,0,0,0,0,1
38,2017-08-03,5,30.0,4.0,120.0,360.0,4.29,9.0,10.0,2.0,98.57,23.0,0,0,0,0,0,0,1
39,2017-08-03,3,75.0,4.0,300.0,780.0,4.29,8.0,8.0,2.0,233.57,54.5,0,0,0,0,1,0,0
40,2017-08-03,3,60.0,5.0,300.0,780.0,4.29,8.0,8.0,2.0,233.57,54.5,0,0,0,0,0,1,0
42,2017-08-03,10,45.0,4.0,180.0,720.0,4.29,10.0,9.0,2.0,220.0,51.33,0,0,0,0,0,1,0
43,2017-08-03,5,60.0,4.0,240.0,360.0,4.29,9.0,6.0,0.0,98.57,23.0,0,0,0,0,0,0,1
44,2017-08-03,10,60.0,3.0,180.0,720.0,4.29,10.0,9.0,1.0,220.0,51.33,0,0,0,0,0,0,1
45,2017-08-03,13,75.0,5.0,375.0,1125.0,4.29,9.0,9.0,0.0,315.0,73.5,0,0,0,0,0,0,1
46,2017-08-03,12,60.0,2.0,120.0,450.0,4.29,7.0,8.0,2.0,121.43,28.33,0,0,0,0,0,1,0
47,2017-08-03,15,60.0,4.0,240.0,720.0,4.29,7.0,7.0,2.0,171.43,40.0,0,0,0,0,1,0,0
48,2017-08-03,10,90.0,4.0,360.0,720.0,4.29,10.0,9.0,1.0,220.0,51.33,0,0,0,0,1,0,0
49,2017-08-03,15,60.0,4.0,240.0,720.0,4.29,7.0,7.0,2.0,171.43,40.0,0,0,0,0,0,1,0
50,2017-08-03,14,120.0,4.0,480.0,795.0,4.29,9.0,9.0,2.0,130.71,30.5,0,0,0,0,1,0,0
51,2017-08-03,14,60.0,3.0,180.0,795.0,4.29,9.0,9.0,2.0,130.71,30.5,0,0,0,0,0,0,1
52,2017-08-03,14,45.0,3.0,135.0,795.0,4.29,9.0,9.0,2.0,130.71,30.5,0,0,0,0,0,1,0
53,2017-08-03,15,60.0,4.0,240.0,720.0,4.29,7.0,7.0,2.0,171.43,40.0,0,0,0,0,0,0,1
54,2017-08-03,13,30.0,0.0,0.0,1125.0,4.29,9.0,9.0,2.0,315.0,73.5,0,0,0,1,0,0,0
55,2017-08-03,13,60.0,5.0,300.0,1125.0,4.29,9.0,9.0,2.0,315.0,73.5,0,0,0,0,0,1,0
56,2017-08-03,12,75.0,2.0,150.0,450.0,4.29,7.0,8.0,2.0,121.43,28.33,0,0,0,0,1,0,0
57,2017-08-03,12,60.0,3.0,180.0,450.0,4.29,7.0,8.0,2.0,121.43,28.33,0,0,0,0,0,0,1
58,2017-08-03,13,90.0,5.0,450.0,1125.0,4.29,9.0,9.0,2.0,315.0,73.5,0,0,0,0,1,0,0
59,2017-08-04,8,60.0,2.0,120.0,675.0,4.29,10.0,9.0,2.0,231.43,54.0,0,0,0,0,1,0,0
60,2017-08-04,3,90.0,6.0,540.0,1140.0,4.29,8.0,8.0,2.0,396.43,92.5,0,0,0,0,0,0,1
61,2017-08-04,3,60.0,5.0,300.0,1140.0,4.29,8.0,8.0,1.0,396.43,92.5,0,0,0,0,1,0,0
62,2017-08-04,4,60.0,5.0,300.0,1035.0,4.29,7.0,8.0,2.0,173.57,40.5,0,0,0,0,0,1,0
63,2017-08-04,4,75.0,5.0,375.0,1035.0,4.29,7.0,8.0,2.0,173.57,40.5,0,0,0,0,0,0,1
64,2017-08-04,4,90.0,4.0,360.0,1035.0,4.29,7.0,8.0,0.0,173.57,40.5,0,0,0,0,1,0,0
65,2017-08-04,5,30.0,5.0,150.0,450.0,4.29,10.0,9.0,2.0,162.86,38.0,0,1,0,0,0,0,0
66,2017-08-04,5,60.0,5.0,300.0,450.0,4.29,5.0,7.0,2.0,162.86,38.0,0,0,0,0,0,0,1
67,2017-08-04,8,60.0,3.0,180.0,675.0,4.29,10.0,9.0,2.0,231.43,54.0,0,0,0,0,0,1,0
68,2017-08-04,8,75.0,5.0,375.0,675.0,4.29,10.0,9.0,2.0,231.43,54.0,0,0,0,0,0,0,1
69,2017-08-04,9,90.0,6.0,540.0,715.0,4.29,10.0,10.0,2.0,245.71,57.33,0,0,0,0,0,0,1
70,2017-08-04,3,60.0,5.0,300.0,1140.0,4.29,8.0,8.0,2.0,396.43,92.5,0,0,0,0,0,1,0
71,2017-08-04,9,20.0,0.0,0.0,715.0,4.29,10.0,10.0,2.0,245.71,57.33,0,0,0,1,0,0,0
72,2017-08-04,9,35.0,5.0,175.0,715.0,4.29,10.0,10.0,2.0,245.71,57.33,0,1,0,0,0,0,0
73,2017-08-04,14,120.0,5.0,600.0,1275.0,4.29,9.0,8.0,2.0,312.86,73.0,0,0,0,0,1,0,0
74,2017-08-04,14,45.0,5.0,225.0,1275.0,4.29,9.0,8.0,2.0,312.86,73.0,0,0,0,0,0,1,0
